,property_id,host_about,host_response_time,host_response_rate,host_nr_listings,host_nr_listings_total,host_verified,booking_price_covers,booking_min_nights,booking_max_nights,responsetime_code
1529,1534,Nous prenons soins de nos hôtes comme nous aimerions être pris en compte. Vous trouverez chez nous une attention particulière pour la propreté des chambres et le petit-déjeuner adapté à vos besoins.  We take care of our guests as we would like to be considered. You will find here special attention to the cleanliness of the rooms and breakfast for your needs.  Wij zorgen voor onze gasten zoals wij zouden willen dat men voor ons zorgt. Bij ons vindt u ook bijzondere aandacht voor de netheid van de kamers en het ontbijt volgens uw behoeftes.,within a few hours,100%,4.0,4.0,"email, phone, reviews, jumio",1,1,15,3.0
1530,1535,"I'm Jennifer, a 35 years old hairdresser and make-up artist working for the film industry. I love and know my city and will be glad to give you tips about it.",within an hour,90-99%,1.0,1.0,"email, phone, reviews, jumio",1,1,1125,4.0
1531,1536,"Je suis bruxelloise depuis toujours et j’adore le centre ville où j’ai vécu pendant plus de 10 ans. Diplômée en Communication (Relations publiques), je transite vers une nouvelle vie de coach et de formatrice.  A côté de cela, j’aime profiter de la vie par les voyages, la lecture, la culture, le sport. La vie pour moi, c’est aussi un développement personnel et une recherche d’intériorité que je nourris par le yoga et la méditation pleine conscience. Une vie pleine d’intérêts qui me pousse à rencontrer de très belles personnes sur mon chemin.  La vie est faite pour être vécue et la partager avec les autres. Je serai ravie de vous accueillir dans mon appartement du centre ville pour découvrir Bruxelles.",within an hour,100%,1.0,1.0,"email, phone, reviews",2,2,60,4.0
1532,1537,"I am a quiet, open minded, easy going person. I like to travel and discover places in different ways, being a guest is one of them. To see how people appropriate their own space, how they share it. Welcoming guests at my own place is also a great pleasure. I am a free lance journalist, writer and editor.",within a few hours,100%,1.0,1.0,"email, phone, facebook, reviews, jumio",1,2,21,3.0
1533,1538,,within a day,50-89%,1.0,1.0,"email, phone, reviews, jumio, government_id",1,1,1125,2.0
1534,1539,"I'm originally from Sevilla, but moved to Leuven about five years ago. In the meanwhile I live in Brussels, enjoying the international dynamics in this town. I'm 24 years old and work at Ghent University. I've just got married to Judith (from Leuven).",unknown,unknown,1.0,1.0,"email, phone, reviews, jumio",4,1,1125,1.0
1535,1540,,unknown,unknown,1.0,1.0,"email, phone, reviews",1,2,1125,1.0
1536,1541,,unknown,unknown,1.0,1.0,"email, phone",1,7,365,1.0
1537,1542,"I enjoy reading, swimming, the sea at large, writing, theater, listening music, cooking if conditions permit, and many many other things. Diversity is probably what describes me best. I need access to internet wherever I am.",within a day,50-89%,1.0,1.0,"email, phone, reviews, jumio",2,4,14,2.0
1538,1543,"Hey, My name is Celine! I currently live in Brussels, where I was born 27 years ago.  I'm working in the theater field. I just finished an actor school here in Belgium, and now I'm planning to start working as an actress in Brussels or anywhere else.    I'm new on Airbnb, though I've couchsurfed a lot while travelling in the past few years. I'm friendly and respectful!  In Brussels I live in a big house with six other people, so I know a bit about shared appartments, and living together. I enjoy it a lot!  I love nature, literature and performing arts, I also like to meet new people, and speak other languages.  I hope to make a lot of great travelling experiences thanks to Airbnb",within an hour,100%,1.0,1.0,"email, phone, reviews, jumio",1,7,30,4.0
1539,1544,,unknown,unknown,1.0,1.0,"email, phone, reviews, jumio",1,3,1125,1.0
1540,1545,,within a few hours,50-89%,1.0,1.0,"email, phone, reviews, jumio",1,3,1125,3.0
1541,1546,,unknown,unknown,1.0,1.0,"email, phone, reviews, jumio",1,1,1125,1.0
1542,1547,Student living with family.,unknown,unknown,2.0,2.0,"email, phone, reviews",1,2,1125,1.0
1543,1548,Student living with family.,unknown,unknown,2.0,2.0,"email, phone, reviews",1,2,1125,1.0
1544,1549,"I'm from the UK (Leicestershire) but have been living abroad for the past 20 odd years - in Russia, Ukraine, Turkey and, for over 12 years now, Brussels in Belgium.  I work in communications - mainly on assignments linked to the EU (hence  moving to Brussels in the first place. I like travel, languages, sport, singing - and anything that brings new experiences and enjoyment.",within an hour,100%,1.0,1.0,"email, phone, reviews, jumio",2,3,1125,4.0
1545,1550,,within an hour,100%,1.0,1.0,"email, phone, reviews, jumio, offline_government_id, government_id",2,2,10,4.0
1546,1551,"I'm a reader, gardener and I like meeting people. I also like cooking, going to restaurants, concerts, theatre and dance-performances. I try to be a real ambassador for my city and region.  Being a member of the Antwerp B&B-Association, I rent my groundfloor apartment on a professional basis. If you need an invoice for your stay, that's no problem.  I dislike arrogant people.",within an hour,100%,1.0,1.0,"email, phone, facebook, reviews",1,3,90,4.0
1547,1552,"I'm a business and management student, who lives on the crossroads between Brussels I Amsterdam I Paris. I travel often, love art and enjoy meeting new people. I love my home and love to share it with others whenever I'm not around due to travels or work.  Feel free to ask me anything to learn more!",within an hour,100%,1.0,1.0,"email, phone, reviews, manual_offline, jumio",2,1,10,4.0
1548,1553,Welcome to the centre of the colour universe.,a few days or more,0-49%,1.0,1.0,"email, reviews, jumio",2,1,1125,0.0
1549,1554,,within a day,50-89%,2.0,2.0,"email, phone, reviews, jumio",1,5,1136,2.0
1550,1555,,within a day,50-89%,2.0,2.0,"email, phone, reviews, jumio",1,1,1125,2.0
1551,1556,,unknown,unknown,1.0,1.0,"email, phone, reviews, jumio",1,5,1125,1.0
1552,1557,,unknown,unknown,1.0,1.0,"email, phone, reviews, jumio",1,3,8,1.0
1553,1558,"Hello everybody!  My name is Ayoub, I am 30 years old and I live in Brussels ( born and raised !). I work for a multinational recruiting firm, but my true passions are music ( I play the piano, guitar and ukulele), foreign languages ( I am now learning Italian, thanks to my wife) and travels.  In my spare time, I like to hang out with my family and friends, especially for a good meal ( I’ m a sushi addict) or a movie.  What I love about Brussels is that it is such a multicultural city, you get to know people from all over the world, no matter where you go. This really helps me waiting until the next trip! So far , I have visited several countries in Asia, the Americas and Europe, but my dream is to leave for a backpack world tour one day.  Being so curious about other countries, I see Airbnb as an opportunity to get  to know people from all over the globe. I am pretty sure you’ll get to love Brussels as much as I do and I really hope that your stay in my flat will contribute to the great memories you’ll make in the capital of Europe!",within an hour,100%,1.0,1.0,"email, phone, reviews, jumio",1,1,1125,4.0
1554,1559,,unknown,unknown,1.0,1.0,"email, phone, reviews, work_email",1,15,1125,1.0
1555,1560,,a few days or more,0-49%,1.0,1.0,"email, phone",1,1,1125,0.0
1556,1561,"Free spirit, relaxed, positive Interest in cinema, art and philosophy",within a day,50-89%,2.0,2.0,"email, phone, reviews, manual_offline, jumio",2,2,1125,2.0
1557,1562,"Free spirit, relaxed, positive Interest in cinema, art and philosophy",within a day,50-89%,2.0,2.0,"email, phone, reviews, manual_offline, jumio",1,1,1125,2.0
1558,1563,The purpose of life is a life of purpose. ~Robert Byrne,within an hour,100%,5.0,5.0,"email, phone, facebook, reviews, manual_offline, jumio",2,1,1125,4.0
1559,1564,I like clean and calm life. I like to help people.,within a day,90-99%,4.0,4.0,"email, phone, reviews",4,1,30,2.0
1560,1565,I like clean and calm life. I like to help people.,within a day,90-99%,4.0,4.0,"email, phone, reviews",4,1,1125,2.0
1561,1566,I like clean and calm life. I like to help people.,within a day,90-99%,4.0,4.0,"email, phone, reviews",6,1,1125,2.0
1562,1567,I like clean and calm life. I like to help people.,within a day,90-99%,4.0,4.0,"email, phone, reviews",4,1,1125,2.0
1563,1568,Nous avons trois appartements meublés et décorés avec grand soin par l'architecte. Nous restons à votre disposition pour de plus amples informations et vous assurer un séjour très agréable.,within an hour,100%,4.0,4.0,"email, phone, facebook, reviews, jumio",2,2,1125,4.0
1564,1569,Nous avons trois appartements meublés et décorés avec grand soin par l'architecte. Nous restons à votre disposition pour de plus amples informations et vous assurer un séjour très agréable.,within an hour,100%,4.0,4.0,"email, phone, facebook, reviews, jumio",2,2,1125,4.0
1565,1570,Nous avons trois appartements meublés et décorés avec grand soin par l'architecte. Nous restons à votre disposition pour de plus amples informations et vous assurer un séjour très agréable.,within an hour,100%,4.0,4.0,"email, phone, facebook, reviews, jumio",2,2,30,4.0
1566,1571,,unknown,unknown,1.0,1.0,"email, phone, reviews, jumio",2,2,30,1.0
1567,1572,Afkomstig uit Brussel. Hecht veel belang aan lekker eten en drinken en doet niks liever dan reizen.,within an hour,100%,1.0,1.0,"email, phone, reviews, jumio",1,1,1125,4.0
1568,1573,,within a day,100%,1.0,1.0,"email, phone, reviews",1,2,1125,2.0
1569,1574,,within an hour,100%,1.0,1.0,"email, phone, reviews",1,2,1125,4.0
1570,1575,"I'm from Belgium. I'm loooking forward to welcome you, feel free to contact me if you have any questions !",within a day,50-89%,1.0,1.0,"email, phone, facebook, reviews, jumio",1,12,1125,2.0
1571,1576,,within a day,100%,1.0,1.0,"email, phone, reviews",2,2,1125,2.0
1572,1577,,within an hour,100%,3.0,3.0,"email, phone, reviews",2,2,1125,4.0
1573,1578,,within an hour,100%,3.0,3.0,"email, phone, reviews",2,2,1125,4.0
1574,1579,,within an hour,100%,3.0,3.0,"email, phone, reviews",2,3,1125,4.0
1575,1580,,within a day,0-49%,1.0,1.0,"email, phone, reviews",1,1,3,2.0
1576,1581,"Ma famille, mon travail, l'anti-routine et la musique.",within a day,50-89%,2.0,2.0,"email, phone, linkedin, jumio",1,2,1125,2.0
1577,1582,"Wij zijn Leonie en Ahmed. Wij houden ervan om te reizen en nieuwe sfeervolle adresjes te ontdekken. Zo genieten we ervan om de fijne ervaring die we zelf hebben met het verblijf in ons appartement te delen met anderen die de stad Antwerpen willen verkennen of gewoon een heerlijk weekendje met vrienden door willen brengen. We vinden het belangrijk om vanuit vertrouwen en respect om te gaan met andermans eigendom, maar ook zorg te dragen voor de wereld om ons heen.  Sfeer en eigenheid is voor ons onmisbaar.. Dat maakt de plek waar je verblijft..  Daarnaast zijn we graag bezig met het creëren van nieuwe dingen; meubels maken, fotograferen, beeldend werken.  Stad en platteland is voor ons een belangrijke afwisseling, zowel om te wonen als om te reizen.",within an hour,100%,1.0,1.0,"email, phone, reviews",2,2,1125,4.0
1578,1583,,within a day,100%,1.0,1.0,"email, phone, reviews, jumio, offline_government_id, government_id",1,1,1125,2.0
1579,1584,,unknown,unknown,1.0,1.0,"email, phone, reviews",1,15,1125,1.0
1580,1585,,within a few hours,100%,1.0,1.0,"email, phone, reviews, jumio",1,1,1125,3.0
1581,1586,"J'aime bien voyager, les animaux et le tiramisu",within an hour,100%,1.0,1.0,"email, phone, reviews, jumio, work_email",1,1,39,4.0
1582,1587,,unknown,unknown,1.0,1.0,"email, phone, reviews, jumio, government_id",1,1,1125,1.0
1583,1588,,within an hour,100%,1.0,1.0,"email, phone, reviews, jumio, government_id, work_email",1,2,1125,4.0
1584,1589,,within an hour,100%,1.0,1.0,"email, phone, facebook, reviews, jumio, offline_government_id, selfie, government_id, identity_manual, work_email",1,3,1125,4.0
1585,1590,,unknown,unknown,1.0,1.0,"email, phone, facebook, reviews, jumio, government_id",1,1,28,1.0
1586,1591,Engineer. Analyst. Art enthusiast. World music fan.,within a few hours,90-99%,2.0,2.0,"email, phone, reviews",1,1,29,3.0
1587,1592,Engineer. Analyst. Art enthusiast. World music fan.,within a few hours,90-99%,2.0,2.0,"email, phone, reviews",1,1,1125,3.0
1588,1593,"Ik ben actrice, drama-docent, beetje politicoloog/journalist en zoveel meer :-) Heb veel gereisd en in het buitenland gewoond (Zuid-Afrika, China, ...). Ik ontvang je/jullie van harte om in alle gezelligheid en comfort te genieten van Antwerpen.",within an hour,100%,1.0,1.0,"email, phone, reviews, jumio",2,1,1125,4.0
1589,1594,Work in academia and skills training; amateur theatre enthusiast,within a day,100%,4.0,4.0,"email, phone, facebook, reviews",1,1,1125,2.0
1590,1595,Work in academia and skills training; amateur theatre enthusiast,within a day,100%,4.0,4.0,"email, phone, facebook, reviews",1,1,1125,2.0
1591,1596,Work in academia and skills training; amateur theatre enthusiast,within a day,100%,4.0,4.0,"email, phone, facebook, reviews",1,1,1125,2.0
1592,1597,,a few days or more,0-49%,1.0,1.0,"email, phone, reviews, jumio",1,7,30,0.0
1593,1598,,unknown,unknown,1.0,1.0,phone,1,12,28,1.0
1594,1599,"Hi I am 42 years old,  born in Paraguay South America married with 2 kids Renato 12 year and Paula 9 year I am field engineer working in telecom industry . At home we speak spanish, english, nederlands.",within an hour,100%,1.0,1.0,"email, phone, reviews, jumio, work_email",1,1,5,4.0
1595,1600,"We like to live and work in Brussels! We want you to give the possibility to stay in our quiet apartment, the moments we don't need it, to visit our exciting city!  Clara is artist, making contemporary drawings: if you are interested in her work , you can have an look on her website. (look for Clara Fanise in a search engine) David works in IT as operations team lead.  We enjoy Brussels cultural live, and the diversity of the city.",within an hour,100%,1.0,1.0,"email, phone, reviews, jumio",2,2,1125,4.0
1596,1601,,within a few hours,90-99%,5.0,5.0,"email, phone, reviews, jumio",1,1,1125,3.0
1597,1602,,within a few hours,90-99%,5.0,5.0,"email, phone, reviews, jumio",1,1,1125,3.0
1598,1603,,within a few hours,90-99%,5.0,5.0,"email, phone, reviews, jumio",1,1,1125,3.0
1599,1604,,within a few hours,90-99%,5.0,5.0,"email, phone, reviews, jumio",1,1,1125,3.0
1600,1605,,within a few hours,90-99%,5.0,5.0,"email, phone, reviews, jumio",1,1,1125,3.0
1601,1606,"I'm a 29 year old woman and have lived in Antwerp since about ten years.  Since I have a spare room and love to meet new people from over the world, I decided to become a host! Currently I'm studying theatre and film at the university of Antwerp.  Also I'm occupied with singer-songwriting, practicing acroyoga and I love to read.   Always in for a good conversation and/or a sharing a laugh!",within a few hours,50-89%,1.0,1.0,"email, phone, reviews, jumio, government_id",1,1,4,3.0
1602,1607,,within an hour,100%,1.0,1.0,"email, phone, reviews",1,4,100,4.0
1603,1608,"My name is Jeanette and I am now living in Brussels. I have been using Airbnb as a guest and I like the concept of being ""home"" even while travelling. So now that I've got my own space, I decided to join as a host as well and pay it forward.   I'm friendly and I'm open to different cultures having lived abroad for almost a year now. I can speak English and Chinese well and I'm also learning French now! It's a difficult language for me but I try my best!   Look forward to meeting you!",within a few hours,50-89%,1.0,1.0,"email, phone, reviews",1,1,1125,3.0
1604,1609,"Hello,   Having studied and living abroad (in the UK and the US) for several years, I appreciate both meeting and helping international travelers.  Should you be looking for short-term or longer-term accommodation in Brussels, please have a look at the spaces at Bernheim Residence.   The renovated house is located in a quiet, residential area, within walking distance from the university (VUB) and close to the European institutions.",within a day,100%,4.0,4.0,"email, phone, reviews",1,7,1125,2.0
1605,1610,"Hello,   Having studied and living abroad (in the UK and the US) for several years, I appreciate both meeting and helping international travelers.  Should you be looking for short-term or longer-term accommodation in Brussels, please have a look at the spaces at Bernheim Residence.   The renovated house is located in a quiet, residential area, within walking distance from the university (VUB) and close to the European institutions.",within a day,100%,4.0,4.0,"email, phone, reviews",1,29,1125,2.0
1606,1611,"Hello,   Having studied and living abroad (in the UK and the US) for several years, I appreciate both meeting and helping international travelers.  Should you be looking for short-term or longer-term accommodation in Brussels, please have a look at the spaces at Bernheim Residence.   The renovated house is located in a quiet, residential area, within walking distance from the university (VUB) and close to the European institutions.",within a day,100%,4.0,4.0,"email, phone, reviews",1,20,1125,2.0
1607,1612,"Hello,   Having studied and living abroad (in the UK and the US) for several years, I appreciate both meeting and helping international travelers.  Should you be looking for short-term or longer-term accommodation in Brussels, please have a look at the spaces at Bernheim Residence.   The renovated house is located in a quiet, residential area, within walking distance from the university (VUB) and close to the European institutions.",within a day,100%,4.0,4.0,"email, phone, reviews",1,20,1125,2.0
1608,1613,"Wij zijn Kim & Sibel. Twee vriendinnen wonend en werkend in Antwerpen (oorspronkelijk uit Nederland) die houden van reizen. Op onze laatste reis in de USA hebben we veel gebruik gemaakt van Air bnb en dit beviel ons heel erg. We ontdekten een andere manier van reizen vandaar dat wij hier ook aan begonnen zijn.  Wij zijn werkzaam in de HR sector, houden van sporten (spinning & bodypump) en zijn altijd op zoek naar leuke lunchadresjes.",within a day,50-89%,1.0,1.0,"email, phone, reviews, jumio",2,1,1125,2.0
1609,1614,,within an hour,100%,1.0,1.0,"email, phone, reviews, jumio",1,1,1125,4.0
1610,1615,,within a few hours,100%,1.0,1.0,"email, phone, facebook, reviews, jumio",2,2,90,3.0
1611,1616,I'm a person very tidy and clean.i would love you enjoy in my appartment!,unknown,unknown,1.0,1.0,"email, phone, facebook, reviews, jumio",1,4,1125,1.0
1612,1617,,within an hour,100%,1.0,1.0,"email, phone, facebook, reviews, jumio",2,2,15,4.0
1613,1618,,unknown,unknown,1.0,1.0,"email, phone, reviews, jumio",1,1,3,1.0
1614,1619,"Born Italian, grown European, I have been living for over 15 years in Brussels - a city that I am deeply fond of. I work in the so-called EU Bubble and have a thorough knowledge of the city and its hidden gems. I am eager to learn about Brussels through my hosts' eyes and share my experience with them.",within an hour,100%,1.0,1.0,"email, phone, reviews, jumio",1,1,7,4.0
1615,1620,,unknown,unknown,1.0,1.0,"email, phone, reviews",1,1,1125,1.0
1616,1621,,within a few hours,100%,1.0,1.0,"email, phone, google, reviews, jumio, government_id",2,3,180,3.0
1617,1622,"Hi,  We are Arnout and Dominika. We are a young active couple, we love travelling, cooking and enjoying life in general. We have already been hosted as guests and it was always a very nice experience. The right balance between meeting people and keeping your own privacy. Now it is our turn to be the hosts and we hope that you will have a great time in the wonderful city of Antwerp and at our place.",within a few hours,100%,1.0,1.0,"email, phone, google, reviews, jumio",1,1,7,3.0
1618,1623,,within a few hours,100%,1.0,1.0,"email, phone, reviews",1,7,1125,3.0
1619,1624,"I am a lawyer travelling often for working reason, when I am not there my lovely boyfriend will take care of you. We love to give tips on Brussels, he is an orginal Brusseloise. Our flat is 'que de bonheur' you will love it!",unknown,unknown,2.0,2.0,"email, phone, reviews, jumio, government_id",3,2,14,1.0
1620,1625,"I am a lawyer travelling often for working reason, when I am not there my lovely boyfriend will take care of you. We love to give tips on Brussels, he is an orginal Brusseloise. Our flat is 'que de bonheur' you will love it!",unknown,unknown,2.0,2.0,"email, phone, reviews, jumio, government_id",1,2,1125,1.0
1621,1626,"We are a Dutch French couple from Amsterdam working in sustainability in Brussels. We love to meet people from different places, cultures and backgrounds, in Brussels or while traveling ourselves.  We are looking forward to meet you at our Brussels home.  À bientôt !  Nass & Rosa",within a day,50-89%,1.0,1.0,"email, phone, reviews, jumio, offline_government_id, government_id, work_email",1,2,1125,2.0
1622,1627,"As a Flemish girl I moved a few years ago to our capital Brussels, the crossroad of many nationalities, political ideas and expressive art. I always have enjoyed traveling and meeting people in their own environment. In the same way I also love to travel in my own home every day. It is adventurous in a way, to share our habitats with people we never met before, but in our exploration of the world, the meeting of new people with other ideas and other ways, is the most essential and touching thing of a trip. Caring for each other is an international shared need, immediately expressed when we step into each others homes. Every encounter in this way, is an enriching experience that I, as a true Brusseleir at heart, happily share :)",within a few hours,100%,1.0,1.0,"email, phone, reviews, jumio",1,1,1125,3.0
1623,1628,I've travelled a lot and i'm always happy to welcome you and share the incredible view from my flat.  *** I'm very happy to have been rewarded as a Superhost by Airbnb ***   I love to read the happy comments from my guests and see your excitement when you discover the view :-)   It's a real pleasure to welcome you.,within a few hours,100%,2.0,2.0,"email, phone, reviews, jumio",2,3,1125,3.0
1624,1629,,unknown,unknown,1.0,1.0,"email, phone, reviews, jumio, government_id",1,1,1125,1.0
1625,1630,"J'ai 38 ans et je voyage souvent, pour le travail et pour les loisirs. J'adore mon petit pied à terre à Paris, dont je suis propriétaire, et je souhaite vous faire profiter de son emplacement idéal pour vos séjours professionnels ou de loisirs.   Je l'occupe les lundi et mardi et parfois samedi et dimanche, et le loue pour 2 nuits consécutives minimum du vendredi au dimanche, avec 40 euros de frais de ménage/draps/Internet.   Je demande une caution de 150 euros.",unknown,unknown,2.0,2.0,"email, phone, reviews",1,2,3,1.0
1626,1631,"Le voyage est au cœur de mes passions mais d'autres activités me font aussi voyager comme la vidéo, la photo, la peinture, la musique et le Taïchi. Le lecture est aussi une partie importante de mes intérêts. La nourriture (saine) et la marche clôturent cette vision globale.",within a day,100%,1.0,1.0,"email, phone, reviews, jumio",1,1,3,2.0
1627,1632,"Living in Brussels which is a great city. Enjoying a lot of cultural dimensions and sculpting at a local academy.   On the way towards a mindful life :-)  Je suis belge, vivant à Bruxelles. J'adore la culture (je fais un peu de sculpture). J'essaie de profiter au mieux de la vie au moment présent.",within a few hours,100%,2.0,2.0,"email, phone, facebook, linkedin, reviews, jumio, work_email",1,2,20,3.0
1628,1633,"Living in Brussels which is a great city. Enjoying a lot of cultural dimensions and sculpting at a local academy.   On the way towards a mindful life :-)  Je suis belge, vivant à Bruxelles. J'adore la culture (je fais un peu de sculpture). J'essaie de profiter au mieux de la vie au moment présent.",within a few hours,100%,2.0,2.0,"email, phone, facebook, linkedin, reviews, jumio, work_email",1,2,14,3.0
1629,1634,"We are a blended family of 5, with two cats and a part-time dog, lots of musical instruments, books and a joyful atmosphere.  Nous sommes une famille recomposée de 5, avec deux chat et un chien en garde alternée, de nombreux instruments de musique, des livres et une atmosphère joyeuse.",unknown,unknown,1.0,1.0,"email, phone, facebook, reviews, manual_offline, jumio",1,3,1125,1.0
1630,1635,,within a few hours,100%,1.0,1.0,"email, phone, reviews, jumio, offline_government_id, government_id",1,1,28,3.0
1631,1636,"We speak French, English, Spanish, Czech, and Dutch!",unknown,unknown,1.0,1.0,"email, phone, facebook, reviews, jumio",1,2,180,1.0
1632,1637,,within an hour,100%,1.0,1.0,"email, phone, reviews, jumio, government_id",1,1,1125,4.0
1633,1638,,within a few hours,100%,1.0,1.0,"email, phone, reviews, jumio",2,1,1125,3.0
1634,1639,,within an hour,100%,1.0,1.0,"email, phone, reviews, jumio, offline_government_id, government_id",1,1,1125,4.0
1635,1640,"Hey,  you're welcome in my flat!! I have been living in Brussels for 10 years. I enjoy meeting new people, traveling around the world and discovering new cultures. I also love laughing, eating good food, meeting friends, walking in the forests, hiking in the mountains, reading novels and essays, photography, yoga, cycling and jogging….  I speak English, French and German.",within a day,50-89%,1.0,1.0,"email, phone, reviews, jumio",1,3,1125,2.0
1636,1641,"Nombreuses  activités sportives et culturels .  Golf ,  Ski, Velo, Marche Nous pouvons vous aider  pour visiter  Bruxelles  ses musées et  autres centres nous vous conseillons  des salles de spectacles et concert  Gaelle une amie , m'a conseillé de me  joindre à  AIR-BNB   je place  un deuxième appartement  ce jour  sur le site",unknown,unknown,3.0,3.0,"email, phone, facebook, reviews",2,3,30,1.0
1637,1642,"Nombreuses  activités sportives et culturels .  Golf ,  Ski, Velo, Marche Nous pouvons vous aider  pour visiter  Bruxelles  ses musées et  autres centres nous vous conseillons  des salles de spectacles et concert  Gaelle une amie , m'a conseillé de me  joindre à  AIR-BNB   je place  un deuxième appartement  ce jour  sur le site",unknown,unknown,3.0,3.0,"email, phone, facebook, reviews",1,2,30,1.0
1638,1643,,within an hour,100%,1.0,1.0,"email, phone, reviews, jumio",2,5,1125,4.0
1639,1644,I am an American photographer who recently relocated to Brussels. I love to have adventures and would constantly be traveling if I had it my way. The best part about having an adventure is meeting new people; it is what makes my world go round.,a few days or more,0-49%,1.0,1.0,"email, phone, reviews, kba",1,3,180,0.0
1640,1645,"I am a 39 old, married woman. My husband's name is Yves. We have a great 12-year old son, his name is Igor.  Me and Yves both work for the government.  I am totaly into photography and literature, Yves is totally into Belgian beers ;-)",within a few hours,100%,1.0,1.0,"email, phone, linkedin, reviews",2,1,365,3.0
1641,1646,,within a few hours,100%,2.0,2.0,"email, phone, reviews",3,3,1125,3.0
1642,1647,,unknown,unknown,1.0,1.0,"email, phone, facebook, reviews",2,2,1125,1.0
1643,1648,"Optimiste et joviale, j'aime accueillir des gens chez moi. C'est toujours un plaisir de faire connaître ma ville :)  Mes passions sont le cinéma, les livres (l'appartement en est remplis), les voyages, et l'anthropologie.",unknown,unknown,1.0,1.0,"email, phone, reviews, jumio, government_id, work_email",1,2,365,1.0
1644,1649,,within a day,100%,2.0,2.0,"email, phone, reviews, jumio",1,2,1125,2.0
1645,1650,,within a day,100%,2.0,2.0,"email, phone, reviews, jumio",1,1,1125,2.0
1646,1651,"globetrotters, marketeers, mom and dad of toddler Liz, loving city people, enjoying life by living it.",within an hour,100%,1.0,1.0,"email, phone, facebook, linkedin, reviews, jumio, work_email",1,2,1125,4.0
1647,1652,,within a day,50-89%,1.0,1.0,"email, phone, facebook, reviews, jumio",1,2,1125,2.0
1648,1653,,a few days or more,0-49%,1.0,1.0,"email, phone, reviews, jumio",1,1,30,0.0
1649,1654,"Hi,   as someone who has sailed around the world and visited a lot of cities i had the pleasure to stay in a large number of airbnb's. So i know what fellow travelers look for while visiting a city. Therefor i wil do my utter best to be the bost host possible.  I look forward having you.",within a few hours,50-89%,1.0,1.0,"email, phone, reviews, jumio, government_id",1,2,1125,3.0
1650,1655,,unknown,unknown,1.0,1.0,"email, phone, reviews",1,4,14,1.0
1651,1656,,within an hour,50-89%,1.0,1.0,"phone, reviews",1,2,5,4.0
1652,1657,,unknown,unknown,1.0,1.0,"email, phone, reviews, jumio, government_id",1,3,1125,1.0
1653,1658,"Italian, creative, speaks english, french and a little bit of spanish",within a day,100%,2.0,2.0,"email, phone, facebook, reviews",1,2,1125,2.0
1654,1659,"Italian, creative, speaks english, french and a little bit of spanish",within a day,100%,2.0,2.0,"email, phone, facebook, reviews",2,1,1125,2.0
1655,1660,Chef d'entreprise.  Conceptualisation de projet.  Financière.  Décoration d'intérieur. Sports auto. Navigatrice dans l'âme. Montagne - ski,within a few hours,100%,4.0,4.0,"email, phone, facebook, reviews, work_email",1,2,14,3.0
1656,1661,Chef d'entreprise.  Conceptualisation de projet.  Financière.  Décoration d'intérieur. Sports auto. Navigatrice dans l'âme. Montagne - ski,within a few hours,100%,4.0,4.0,"email, phone, facebook, reviews, work_email",1,2,1125,3.0
1657,1662,Chef d'entreprise.  Conceptualisation de projet.  Financière.  Décoration d'intérieur. Sports auto. Navigatrice dans l'âme. Montagne - ski,within a few hours,100%,4.0,4.0,"email, phone, facebook, reviews, work_email",1,2,1125,3.0
1658,1663,Chef d'entreprise.  Conceptualisation de projet.  Financière.  Décoration d'intérieur. Sports auto. Navigatrice dans l'âme. Montagne - ski,within a few hours,100%,4.0,4.0,"email, phone, facebook, reviews, work_email",1,2,1125,3.0
1659,1664,I'm an open minded person who traveled a lot.  I'm curious and like meeting people and discovering countries.,within a day,100%,1.0,1.0,"email, phone",1,5,1125,2.0
1660,1665,Jeune couple dynamique habitant le centre de Bruxelles et qui cherche à sous-louer son appartement durant ses vacances. Notre appartement est très fonctionnel et offre tout le confort et le matériel nécessaire à ses occupants.,within a day,100%,1.0,1.0,"email, phone, reviews, jumio",1,2,1125,2.0
1661,1666,,unknown,unknown,1.0,1.0,"email, phone, reviews, jumio",1,7,20,1.0
1662,1667,"I'm a Swede living in Brussels, working with communications in the EU bubble. I love my neighborhood - I've been living here for the past five years - and I look forward to giving you all my insider tips for the best Brussels experience.",within an hour,100%,1.0,1.0,"email, phone, reviews, jumio",2,2,1125,4.0
1663,1668,"often on travel for international cooperation or on short breaks taking advantage of airbnb guest, next time I travel I wish to list my flat for those interested to enjoy few days in Brussels",unknown,unknown,1.0,1.0,"email, phone, reviews, jumio",1,2,1125,1.0
1664,1669,"Je suis Belge et Bruxelloise. Je vis avec Antoine, mon compagnon français, et nous avons un petit garçon de trois ans.  Grande passionnée de voyages, j'ai toujours apprécié les rencontres, les découvertes et tous les petits et grands moments extraordinaires que l'on vit ailleurs.  Voilà maintenant deux ans que nous avons emménagé dans notre maison dans le cœur du quartier Belle Époque de Bruxelles. C'est avec beaucoup de plaisir que je me suis lancée dans une nouvelle aventure: l'accueil de visiteurs qui partagent mes souhaits de séjours hors des sentiers balisés.  J'ai donc hâte de vous rencontrer.",within an hour,100%,1.0,1.0,"email, phone, reviews, jumio",1,2,40,4.0
1665,1670,,within an hour,100%,2.0,2.0,"email, phone, facebook, reviews, jumio, offline_government_id, government_id",2,2,30,4.0
