property_id,property_zipcode,property_type,property_room_type,property_max_guests,property_bathrooms,property_bedrooms,cluster_label,centroid_distance
1534,1040,1,0,2,1.0,1.0,7,1.23
1535,1050,0,0,2,1.0,0.0,4,0.99
1536,1000,0,0,4,1.0,1.0,2,0.3
1537,1060,0,1,2,1.0,1.0,9,1.34
1538,1040,0,1,2,1.0,1.0,7,1.45
1539,1070,0,0,6,1.0,2.0,2,0.84
1540,1050,0,0,2,1.0,1.0,7,1.21
1541,1050,0,1,1,1.0,1.0,4,0.32
1542,1000,0,0,3,1.5,2.0,2,1.78
1543,1030,0,1,2,1.0,1.0,0,0.42
1544,1030,15,0,4,1.0,3.0,0,0.3
1545,1050,0,1,2,1.0,1.0,4,0.63
1546,1050,0,1,1,1.0,1.0,7,1.29
1547,1060,0,1,2,1.0,1.0,9,1.24
1548,1060,0,1,2,1.0,1.0,9,1.42
1549,1000,0,0,4,1.0,2.0,2,0.48
1550,2000,8,0,2,1.0,1.0,1,0.79
1551,2018,0,0,3,1.0,2.0,1,1.6
1552,1030,0,0,5,1.0,2.0,2,1.98
1553,1060,1,1,2,1.0,1.0,9,1.4
1554,2018,0,0,2,1.0,1.0,1,1.26
1555,2018,0,1,2,1.0,1.0,1,1.1
1556,1200,14,1,1,1.0,1.0,3,1.87
1557,1060,14,1,2,1.0,1.0,9,1.02
1558,1000,0,0,2,1.0,0.0,4,1.39
1559,1060,0,0,4,2.0,2.0,4,0.82
1560,2018,14,1,1,1.0,1.0,1,1.43
1561,1190,0,0,4,1.5,2.0,9,0.38
1562,1190,15,1,2,1.5,1.0,9,0.5
1563,2140,0,1,2,1.0,1.0,6,0.46
1564,1000,0,0,6,1.0,1.0,2,0.25
1565,1000,0,0,4,1.0,1.0,2,0.26
1566,1000,0,0,8,1.0,2.0,2,0.5
1567,1000,0,0,4,1.0,1.0,2,0.32
1568,1000,0,0,4,1.0,1.0,2,0.53
1569,1000,0,0,3,1.0,1.0,2,1.19
1570,1000,0,0,4,1.5,1.0,2,1.09
1571,1190,0,0,2,1.0,1.0,9,1.12
1572,1000,0,0,2,1.0,1.0,2,0.5
1573,1060,0,1,1,1.0,1.0,9,1.0
1574,1200,20,0,8,2.5,3.0,3,1.49
1575,1000,0,0,5,1.0,2.0,2,0.43
1576,2000,20,0,4,2.0,2.0,1,1.06
1577,1060,0,0,2,1.0,0.0,9,0.71
1578,1060,0,0,4,1.0,1.0,9,0.74
1579,1000,0,0,5,1.0,1.0,2,0.93
1580,1000,0,0,3,1.0,1.0,2,0.17
1581,1050,0,0,2,1.0,0.0,4,0.63
1582,2000,0,0,5,1.0,2.0,1,1.13
1583,2060,0,0,3,1.0,1.0,1,1.56
1584,1030,0,1,1,1.0,1.0,0,0.72
1585,1160,0,1,1,1.5,1.0,7,1.69
1586,1180,0,0,3,2.0,1.0,9,1.2
1587,1020,14,0,4,1.0,3.0,5,0.77
1588,2000,0,0,4,1.5,2.0,1,2.08
1589,1000,0,0,2,1.0,1.0,2,0.75
1590,1060,0,0,2,1.0,1.0,9,0.6
1591,1050,0,1,1,1.0,1.0,7,0.75
1592,1050,0,1,1,1.0,1.0,7,0.54
1593,2018,0,1,2,1.0,1.0,1,0.71
1594,1050,0,1,2,1.0,1.0,4,1.35
1595,1050,15,1,2,1.0,1.0,4,1.09
1596,1050,1,1,2,1.0,1.0,4,1.28
1597,1180,14,1,2,1.0,1.0,4,1.56
1598,1050,0,0,2,1.0,1.0,7,1.42
1599,1090,0,1,3,1.5,1.0,5,2.47
1600,1000,0,0,4,1.0,1.0,2,1.05
1601,2000,0,0,5,1.0,1.0,1,0.8
1602,2000,0,0,7,1.5,3.0,1,0.81
1603,2000,21,0,6,1.0,3.0,1,0.93
1604,2000,21,0,4,1.0,2.0,1,1.03
1605,2000,21,0,6,1.0,2.0,1,0.91
1606,2060,14,1,1,1.0,1.0,6,0.89
1607,1190,0,0,4,1.0,2.0,9,1.22
1608,1200,0,1,2,1.0,1.0,3,0.87
1609,1040,14,1,1,2.0,0.0,7,0.61
1610,1040,0,0,2,1.0,0.0,7,0.72
1611,1040,14,1,1,0.5,1.0,7,0.73
1612,1040,0,1,1,1.0,1.0,7,0.6
1613,2018,0,0,3,1.0,1.0,1,0.93
1614,1060,0,1,2,1.0,1.0,4,0.84
1615,1030,0,0,2,1.0,1.0,0,1.23
1616,1000,0,0,4,1.0,1.0,2,0.12
1617,1030,0,0,5,1.0,2.0,0,0.39
1618,1150,0,0,2,1.0,1.0,3,0.68
1619,1050,0,1,2,2.0,1.0,4,1.07
1620,1190,0,0,2,1.0,0.0,9,1.27
1621,1050,0,0,4,1.5,1.0,4,1.02
1622,2600,14,1,2,1.0,1.0,6,2.39
1623,1040,8,1,2,1.0,1.0,7,1.19
1624,1050,0,0,5,1.0,2.0,4,0.29
1625,1050,0,1,2,1.0,1.0,4,0.31
1626,1050,15,0,4,1.0,2.0,4,0.87
1627,1000,0,1,2,1.0,1.0,2,0.13
1628,1000,0,0,6,1.5,2.0,0,1.29
1629,2600,0,0,4,1.0,2.0,6,2.39
1630,1050,0,0,2,1.0,1.0,4,0.69
1631,1030,14,1,2,1.0,1.0,0,2.56
1632,1200,1,1,1,1.0,1.0,3,2.77
1633,1200,1,1,2,1.0,1.0,3,2.74
1634,1060,15,0,7,1.5,5.0,9,0.45
1635,1060,0,0,6,1.0,3.0,9,0.75
1636,1190,0,0,4,1.0,2.0,9,1.24
1637,1190,14,1,2,1.0,1.0,9,0.13
1638,1030,0,0,4,1.0,2.0,0,0.27
1639,2000,0,1,2,1.0,1.0,1,0.37
1640,1200,0,0,2,1.0,0.0,7,1.89
1641,1000,0,0,2,1.0,1.0,2,0.44
1642,1000,0,0,2,1.0,1.0,2,0.43
1643,2140,0,0,4,1.0,2.0,6,0.45
1644,1050,0,0,3,1.0,1.0,4,0.77
1645,2060,0,0,2,1.0,1.0,6,1.23
1646,1000,0,0,4,1.0,2.0,4,0.38
1647,1060,0,1,2,1.0,1.0,2,1.32
1648,1060,0,0,2,1.0,1.0,9,0.44
1649,1060,0,0,5,1.0,1.0,9,0.69
1650,1060,0,0,2,1.0,1.0,9,0.85
1651,2060,0,0,2,1.0,1.0,6,0.94
1652,1050,0,0,2,1.0,0.0,4,0.59
1653,1000,14,1,2,2.0,1.0,2,1.12
1654,2000,15,0,3,1.0,2.0,1,0.81
1655,2018,20,1,2,3.5,1.0,1,1.47
1656,2000,0,1,2,2.0,1.0,1,1.31
1657,1050,14,0,12,2.0,4.0,4,0.53
1658,1050,0,0,1,1.0,1.0,4,0.35
1659,1050,1,0,3,1.0,2.0,4,0.42
1660,1000,8,0,4,2.0,2.0,2,1.05
1661,1000,1,1,2,1.0,1.0,2,0.89
1662,1000,1,1,2,1.0,1.0,2,1.07
1663,1000,1,1,2,1.0,1.0,2,1.05
1664,1180,0,1,1,1.0,1.0,9,2.84
1665,1000,0,0,6,1.5,2.0,2,1.8
1666,2018,14,0,4,2.0,2.0,6,1.46
1667,1060,0,0,4,1.0,2.0,9,0.83
1668,1000,0,0,2,1.0,1.0,2,0.48
1669,1060,14,1,2,1.0,1.0,9,0.47
1670,1030,14,1,2,2.0,1.0,0,0.17
1671,1030,14,1,2,1.0,1.0,0,0.27
1672,1000,0,1,2,1.0,1.0,2,0.32
1673,1210,0,0,3,1.0,1.0,0,0.81
1674,1210,8,0,5,1.0,1.0,0,0.78
1675,1060,0,0,2,1.0,1.0,9,0.79
1676,1030,0,0,2,1.0,1.0,0,1.58
1677,1200,14,1,1,1.0,1.0,7,2.15
1678,1050,0,0,4,1.5,2.0,4,1.0
1679,1030,0,1,2,1.0,1.0,0,0.46
1680,1030,0,0,6,1.5,3.0,0,0.28
1681,1030,0,1,4,1.5,1.0,0,0.43
1682,1030,0,1,2,1.0,1.0,0,0.44
1683,1060,0,1,3,1.0,1.0,9,1.48
1684,1000,0,0,2,1.0,0.0,0,1.17
1685,1030,0,1,2,1.0,1.0,0,1.78
1686,1050,0,1,1,1.0,1.0,7,2.07
1687,1050,0,1,1,1.0,1.0,7,2.06
1688,1000,0,0,2,1.0,0.0,2,0.15
1689,2000,0,0,4,1.0,2.0,1,1.34
1690,2000,0,1,2,1.0,1.0,1,1.1
1691,1000,0,0,2,1.0,1.0,0,1.02
1692,1000,0,1,2,1.0,1.0,0,0.94
1693,1000,0,0,2,1.0,1.0,0,0.99
1694,1200,0,0,3,1.0,2.0,7,2.37
1695,1030,0,2,2,1.5,1.0,0,0.46
1696,1000,0,0,2,1.0,1.0,2,0.45
1697,1000,0,0,2,1.0,1.0,2,0.33
1698,1000,0,0,3,1.0,2.0,2,0.37
1699,1000,0,0,2,1.0,1.0,2,0.55
1700,1000,0,0,2,1.0,0.0,4,0.58
1701,2018,0,0,4,1.0,1.0,6,1.74
1702,1060,14,1,6,2.0,3.0,9,0.92
1703,1060,14,1,6,1.0,1.0,9,1.16
1704,1060,14,1,2,1.0,1.0,9,1.2
1705,1200,14,1,2,1.0,1.0,3,0.54
1706,1200,14,1,2,1.0,1.0,3,0.56
1707,1000,0,0,4,1.0,1.0,2,0.89
1708,1050,0,0,5,1.0,2.0,4,1.16
1709,1000,0,0,3,1.0,1.0,2,1.01
1710,1000,15,0,3,1.0,1.0,2,0.89
1711,1000,0,1,2,1.0,1.0,2,0.5
1712,1000,0,0,2,1.0,1.0,2,0.79
1713,1210,0,1,2,1.0,1.0,0,0.48
1714,1000,0,1,2,1.0,1.0,2,1.1
1715,1000,0,0,2,1.0,1.0,2,1.08
1716,1060,0,0,3,1.0,2.0,9,0.97
1717,2060,0,2,3,1.0,1.0,6,2.16
1718,1040,0,0,3,1.0,1.0,7,1.19
1719,1180,0,0,5,1.5,1.0,4,1.99
1720,1180,0,0,5,1.5,1.0,4,1.89
1721,1060,0,0,5,1.5,1.0,9,0.75
1722,1030,14,1,2,1.0,1.0,0,0.26
1723,1050,0,0,5,1.5,2.0,4,0.34
1724,1160,1,1,2,1.0,1.0,3,2.83
1725,1160,14,0,2,1.0,1.0,3,2.84
1726,1030,14,1,2,1.0,1.0,0,0.73
1727,1050,14,1,2,1.0,1.0,4,0.82
1728,1190,0,0,2,1.0,1.0,9,0.15
1729,1040,0,0,2,1.5,1.0,7,1.03
1730,1000,0,0,2,1.0,1.0,2,0.53
1731,1000,0,0,2,5.5,1.0,2,0.74
1732,1190,0,0,2,1.0,1.0,9,0.57
1733,1000,0,0,2,1.0,1.0,2,0.6
1734,1000,0,0,4,1.0,1.0,2,0.33
1735,1000,0,0,2,1.0,1.0,2,0.35
1736,1040,0,1,2,1.0,1.0,7,0.63
1737,1080,0,0,6,1.0,3.0,5,1.21
1738,1080,0,0,6,1.0,3.0,5,1.21
1739,1040,0,0,2,1.0,1.0,7,1.11
1740,1000,0,0,2,1.0,1.0,2,1.23
1741,1050,0,1,2,1.0,1.0,4,1.23
1742,1050,0,1,2,1.0,1.0,4,1.32
1743,1000,0,0,4,5.5,1.0,2,0.11
1744,1000,0,2,1,2.0,1.0,2,0.2
1745,1000,14,0,4,2.0,2.0,2,0.59
1746,2140,0,0,4,1.0,2.0,6,2.03
1747,1000,0,0,2,1.0,2.0,2,1.16
1748,1000,0,1,1,1.0,1.0,2,1.17
1749,1050,0,0,2,1.0,1.0,4,0.7
1750,1040,0,0,2,1.0,1.0,7,1.36
1751,1050,0,0,2,1.0,1.0,4,0.38
1752,1000,0,0,4,1.0,2.0,2,0.69
1753,2000,0,0,2,1.0,1.0,1,0.43
1754,1000,0,0,4,1.0,2.0,0,1.39
1755,2000,0,1,2,1.0,1.0,1,0.42
1756,1030,0,0,2,1.0,1.0,0,1.2
1757,1000,15,0,2,1.0,1.0,2,0.4
1758,2600,0,0,2,1.0,1.0,6,0.87
1759,2060,0,2,1,1.0,1.0,6,1.22
1760,1210,14,1,2,1.5,1.0,0,1.01
1761,1050,0,0,2,1.0,1.0,4,0.45
1762,1180,14,1,2,2.0,1.0,9,1.1
1763,1060,0,0,5,1.0,2.0,9,0.91
1764,1050,0,0,3,1.0,1.0,4,0.35
1765,1000,0,0,2,1.0,1.0,2,0.2
1766,1030,14,0,3,1.0,2.0,0,1.52
1767,2000,15,0,2,1.0,1.0,1,1.77
1768,1000,0,1,2,1.0,1.0,2,0.59
1769,2000,14,0,12,1.0,3.0,1,1.12
1770,1000,0,1,2,1.0,1.0,2,0.24
1771,1050,0,0,2,1.0,1.0,4,0.4
1772,1050,0,0,4,2.0,2.0,4,1.23
1773,1180,14,0,3,1.0,2.0,4,3.88
1774,1050,0,0,6,2.0,3.0,4,0.72
1775,1050,0,0,4,2.0,1.0,4,0.71
1776,1050,0,0,3,1.0,1.0,4,1.13
1777,1050,0,0,1,1.0,0.0,4,0.98
1778,1050,0,0,2,1.0,0.0,4,0.79
1779,1000,0,0,2,1.0,1.0,2,1.19
1780,1000,0,0,2,1.0,0.0,4,0.52
1781,1000,0,0,6,1.0,2.0,2,0.69
1782,1000,0,0,2,1.0,1.0,2,0.97
1783,1050,0,0,2,1.0,0.0,7,1.46
1784,1180,0,0,2,1.0,1.0,9,2.32
1785,2000,0,1,3,1.0,1.0,1,0.27
1786,2000,0,0,2,1.0,1.0,1,0.43
1787,1030,0,1,2,1.0,1.0,0,0.56
1788,1000,0,1,2,1.0,1.0,4,0.42
1789,1190,0,0,2,1.0,1.0,9,0.48
1790,1030,0,1,2,1.0,1.0,0,0.7
1791,1000,15,0,7,1.5,3.0,2,0.94
1792,1000,0,0,4,1.0,1.0,2,1.36
1793,1060,0,1,2,1.0,1.0,9,0.85
1794,1060,14,1,2,1.0,1.0,9,1.1
1795,1070,0,1,1,1.0,1.0,9,1.94
1796,1050,0,0,2,1.0,1.0,4,0.6
1797,1210,0,1,2,1.0,1.0,0,0.64
1798,1040,0,0,3,1.5,1.0,4,1.14
1799,1050,0,0,5,1.0,2.0,4,0.42
1800,1050,0,0,6,2.0,2.0,4,1.14
1801,1000,0,0,4,1.0,1.0,2,0.29
1802,1000,0,0,6,2.0,2.0,2,0.8
1803,1000,0,0,6,1.0,2.0,2,0.72
1804,1000,0,0,4,1.0,1.0,0,1.51
1805,1050,0,0,4,1.0,2.0,4,1.02
1806,1050,0,0,4,1.0,2.0,4,0.92
1807,1000,0,0,4,1.0,1.0,0,1.61
1808,1050,0,0,5,1.0,2.0,4,0.48
1809,1050,0,0,6,1.0,2.0,4,1.07
1810,1050,0,0,2,1.0,0.0,4,0.38
1811,1050,0,0,3,1.0,2.0,4,0.51
1812,1050,0,0,5,1.0,2.0,4,0.47
1813,1210,0,0,4,1.0,2.0,0,1.1
1814,1000,0,0,6,1.0,2.0,2,0.72
1815,1000,0,0,6,1.0,2.0,2,0.67
1816,1000,0,0,6,1.0,2.0,2,0.66
1817,1000,0,0,4,1.0,1.0,2,0.67
1818,1050,0,0,6,1.0,2.0,4,0.57
1819,1000,0,0,4,1.0,1.0,2,0.51
1820,1210,0,0,4,2.0,2.0,0,1.23
1821,1210,0,0,2,1.0,1.0,0,1.13
1822,1210,0,0,2,1.0,1.0,0,1.08
1823,1000,0,0,4,1.0,1.0,0,1.5
1824,1000,0,0,4,1.0,1.0,0,1.6
1825,1000,0,0,4,1.0,1.0,0,1.61
1826,1000,0,0,4,1.0,1.0,4,1.5
1827,1000,0,0,4,1.0,1.0,2,0.61
1828,1000,0,0,4,1.0,1.0,2,0.62
1829,1000,0,0,6,1.0,2.0,2,0.81
1830,1000,0,0,5,1.0,2.0,2,0.68
1831,1210,0,0,4,2.0,2.0,0,1.24
1832,1040,0,0,6,1.0,2.0,7,1.03
1833,1040,0,0,2,1.0,1.0,0,1.84
1834,1040,0,1,3,1.0,1.0,0,1.96
1835,1040,0,1,2,1.0,1.0,4,1.47
1836,1040,0,1,2,1.0,1.0,0,1.83
1837,1040,0,0,4,1.0,1.0,7,0.84
1838,1040,0,0,4,1.0,1.0,7,1.0
1839,1040,0,0,4,1.0,1.0,7,1.06
1840,2000,0,0,2,1.0,1.0,1,2.43
1841,2018,14,0,6,1.0,3.0,1,0.82
1842,2060,0,0,2,1.0,1.0,6,0.75
1843,1070,15,0,2,1.0,1.0,2,1.27
1844,1040,0,1,2,2.0,1.0,7,0.34
1845,1060,0,0,4,1.0,1.0,9,1.2
1846,1040,0,0,3,1.0,1.0,7,0.75
1847,2100,0,0,2,1.0,1.0,6,2.93
1848,1060,0,1,2,1.0,1.0,9,0.89
1849,2018,14,1,2,1.0,1.0,1,1.14
1850,1050,0,0,2,1.0,1.0,4,0.67
1851,1210,0,0,4,1.0,2.0,2,1.37
1852,2000,0,0,2,1.0,0.0,1,0.77
1853,2000,0,0,2,1.0,1.0,1,0.78
1854,2000,0,0,2,1.0,1.0,1,0.66
1855,2000,0,0,2,1.0,1.0,1,0.63
1856,1030,0,1,1,1.0,1.0,0,0.65
1857,2018,0,0,6,1.0,3.0,1,0.5
1858,1000,0,0,4,1.0,1.0,4,1.25
1859,1040,0,0,2,1.0,1.0,7,1.69
1860,1050,0,0,2,1.0,1.0,4,0.72
1861,2140,1,1,2,1.0,1.0,6,1.97
1862,1040,0,0,4,1.0,2.0,4,1.08
1864,2018,0,1,2,1.0,0.0,1,0.81
1865,1200,20,1,2,1.0,1.0,3,1.57
1866,1000,14,1,2,1.0,1.0,0,1.17
1867,1050,0,0,4,1.0,2.0,7,1.01
1868,1050,0,1,2,1.0,1.0,7,1.13
1869,1070,0,1,2,1.0,1.0,2,1.0
1870,1070,0,1,2,1.0,1.0,2,0.88
1871,1060,14,0,4,1.0,1.0,9,1.25
1872,1060,0,0,4,1.0,1.0,9,1.2
1873,1060,0,0,4,1.0,1.0,9,1.38
1874,1050,0,1,2,1.0,1.0,7,0.69
1875,1000,0,0,2,1.0,1.0,0,1.0
1876,2000,0,0,2,1.0,0.0,1,1.4
1877,2000,0,0,3,1.0,0.0,1,1.37
1878,2000,0,0,2,1.0,1.0,1,1.38
1879,2000,0,1,2,1.0,1.0,1,1.29
1880,2000,0,0,2,1.0,1.0,1,1.45
1881,1040,0,0,3,1.0,0.0,7,1.32
1882,1000,0,0,4,1.0,1.0,0,0.59
1883,1190,14,1,2,2.0,1.0,9,1.06
1884,1060,0,0,1,1.0,1.0,9,1.04
1885,1060,0,0,4,1.0,1.0,9,1.18
1886,1030,0,0,4,1.0,2.0,0,1.24
1887,2000,14,0,2,1.0,0.0,1,1.05
1888,2000,0,0,2,1.0,1.0,1,1.2
1889,2000,0,0,2,1.0,0.0,1,1.13
1890,1060,0,0,3,1.0,1.0,4,1.0
1891,2000,0,0,4,1.0,2.0,1,1.03
1892,1210,0,1,2,1.0,1.0,0,1.01
1893,1210,1,1,2,1.0,1.0,0,0.93
1894,1180,0,0,2,1.0,0.0,4,1.63
1895,1210,0,0,4,1.0,1.0,0,1.0
1896,1190,0,0,1,1.0,0.0,9,0.98
1897,2000,0,0,2,1.0,1.0,1,0.95
1898,2660,14,0,6,1.0,4.0,1,5.25
1899,1170,0,0,4,1.0,1.0,7,1.85
1900,1060,0,0,2,1.0,1.0,9,0.77
1901,1140,0,2,2,1.0,1.0,0,2.03
1902,1050,0,1,2,1.0,1.0,4,0.75
1903,1060,0,0,4,1.0,0.0,4,1.01
1904,1000,12,1,1,1.0,1.0,5,1.31
1905,1000,1,0,2,1.0,1.0,0,0.71
1906,1000,1,0,3,1.5,1.0,0,0.87
1907,1000,1,0,3,1.5,1.0,0,0.69
1908,1000,0,0,1,1.0,0.0,2,0.43
1909,1000,0,0,2,1.0,1.0,2,0.47
1910,1000,0,0,2,1.0,0.0,2,0.33
1911,1000,0,0,2,1.0,1.0,2,0.45
1912,1000,0,0,2,1.0,1.0,2,0.55
1913,1000,0,1,2,1.0,1.0,2,0.52
1914,1000,0,0,2,1.0,0.0,2,0.48
1915,1000,0,0,1,1.0,0.0,2,0.33
1916,1150,0,1,2,1.0,1.0,7,0.78
1917,1080,0,0,6,2.5,2.0,2,0.7
1918,1190,0,0,5,1.0,1.0,9,0.99
1919,1070,0,1,2,1.5,1.0,8,1.99
1920,1060,0,0,2,1.0,1.0,9,0.92
1921,1200,0,0,3,1.0,1.0,3,0.4
1922,2060,0,0,2,1.0,1.0,6,1.28
1923,1030,0,0,2,1.0,1.0,0,2.09
1924,1040,0,0,5,1.0,2.0,7,0.94
1925,1040,0,1,1,1.0,1.0,7,0.77
1926,1040,0,1,1,1.0,1.0,7,0.83
1927,1190,0,0,4,1.0,2.0,9,0.67
1928,1050,0,0,3,1.0,1.0,4,0.79
1929,1050,0,0,6,1.5,2.0,7,1.4
1930,1090,0,0,3,1.0,1.0,5,0.18
1931,1020,0,0,2,1.0,0.0,5,1.58
1932,1020,0,0,4,1.0,2.0,5,2.05
1933,1020,0,0,2,1.0,0.0,5,2.06
1934,1020,14,0,8,3.0,4.0,5,1.74
1935,1060,0,0,2,1.0,1.0,9,0.93
1936,1060,0,0,2,1.0,0.0,4,0.69
1937,1050,1,1,5,1.0,1.0,4,1.07
1938,1190,0,0,4,3.0,2.0,9,0.07
1939,2018,14,1,3,1.0,1.0,6,1.08
1940,2018,14,0,4,1.0,2.0,6,1.3
1941,1000,0,0,3,1.0,2.0,5,1.46
1942,1190,0,0,4,1.5,2.0,9,0.82
1943,2018,15,0,2,1.0,0.0,1,0.99
1944,1150,0,0,4,1.0,1.0,3,1.84
1945,1000,20,1,2,1.0,1.0,2,0.34
1946,2060,0,1,2,1.5,1.0,6,1.54
1947,1040,0,0,6,1.0,2.0,4,1.04
1948,1000,0,0,3,1.0,1.0,2,0.6
1949,2100,14,0,4,1.0,2.0,6,1.73
1950,1180,0,0,4,1.0,1.0,9,0.98
1951,1050,0,1,2,1.0,1.0,4,0.94
1952,2018,14,0,2,1.0,1.0,6,0.9
1953,2008,0,0,2,1.0,1.0,6,2.17
1954,1000,14,1,2,2.0,1.0,2,1.09
1955,1050,0,0,5,1.0,2.0,7,1.88
1956,1000,0,0,4,1.0,1.0,2,0.73
1957,1040,0,0,3,1.0,1.0,7,0.94
1958,2140,14,1,2,1.5,1.0,6,0.54
1959,1080,16,1,2,1.0,1.0,8,1.57
1960,2000,0,0,3,1.0,1.0,1,2.1
1961,1050,0,0,4,1.0,2.0,4,1.33
1962,1180,14,0,2,1.0,1.0,9,3.22
1963,1000,0,1,1,0.5,1.0,0,1.43
1964,2000,0,0,4,1.0,2.0,1,0.4
1965,2610,14,1,2,2.0,1.0,6,3.8
1966,1170,0,0,2,1.0,0.0,7,3.1
1967,1060,0,0,3,1.0,1.0,9,0.56
1968,1060,0,0,2,1.0,0.0,9,0.59
1969,1060,0,0,3,1.0,1.0,9,0.6
1970,1000,0,0,2,1.0,0.0,2,0.78
1971,1040,0,0,3,1.0,1.0,7,1.17
1972,1000,0,0,4,1.0,1.0,2,0.03
1973,1000,0,0,4,1.0,1.0,2,0.16
1974,1070,0,0,3,1.0,2.0,8,0.99
1975,1190,0,0,2,1.0,1.0,9,0.05
1976,1060,0,0,6,1.0,2.0,9,0.24
1977,2140,4,1,1,0.5,1.0,6,0.58
1978,2140,20,1,2,0.5,1.0,6,0.64
1979,2140,22,1,6,0.5,1.0,6,0.74
1980,1080,0,0,5,1.0,2.0,5,1.18
1981,1030,0,1,2,1.0,1.0,0,1.28
1982,1050,0,1,2,1.0,1.0,4,0.27
1983,1000,0,0,5,1.5,3.0,2,1.01
1984,1000,0,0,3,1.0,1.0,2,0.83
1985,1030,0,1,2,1.0,1.0,0,0.88
1986,1180,14,0,6,2.0,4.0,4,1.68
1987,1060,0,0,2,1.0,0.0,9,1.24
1988,1050,0,0,2,1.0,1.0,4,0.44
1989,1060,0,1,2,1.0,1.0,9,0.85
1990,1040,14,0,4,1.0,0.0,7,1.42
1991,1050,0,0,4,1.0,1.0,4,0.93
1992,1200,0,1,2,1.0,1.0,0,1.82
1994,1050,0,1,1,1.0,1.0,4,0.82
1995,1020,0,0,3,1.0,2.0,5,0.29
1996,1190,0,0,4,1.0,1.0,9,1.4
1997,1080,0,1,2,1.0,1.0,5,1.31
1998,2018,0,0,2,1.0,0.0,1,0.63
1999,2018,14,1,2,1.0,1.0,1,0.76
2000,2018,14,1,2,1.0,1.0,1,0.69
2001,2600,0,0,3,1.0,1.0,6,3.68
2002,1060,8,0,4,1.0,2.0,9,0.66
2003,1050,0,0,2,1.0,1.0,4,1.36
2004,1000,0,0,4,1.0,1.0,2,0.49
2005,1000,14,1,3,1.5,1.0,2,0.17
2006,1030,0,0,2,1.0,1.0,0,0.18
2007,1030,0,1,2,1.5,1.0,0,1.06
2008,1040,0,0,3,1.0,1.0,7,1.52
2009,1000,1,1,2,1.0,1.0,2,0.9
2010,1000,14,1,4,1.0,1.0,2,0.82
2011,1060,14,0,4,1.0,1.0,4,1.06
2012,1060,14,0,4,0.5,1.0,4,1.0
2013,1180,0,0,5,1.5,2.0,4,1.28
2014,1050,14,0,4,1.0,2.0,4,1.04
2015,2140,0,0,3,1.0,2.0,6,0.28
2016,2000,0,0,3,1.0,1.0,1,1.16
2017,1030,0,0,4,1.5,1.0,2,1.98
2018,1030,0,1,2,1.0,1.0,0,1.04
2019,1000,0,0,2,1.0,1.0,2,0.09
2020,1000,0,1,2,1.5,1.0,2,0.6
2021,1000,0,0,2,1.0,1.0,2,1.08
2022,1040,0,1,2,2.0,1.0,7,0.82
2023,1000,0,0,4,1.0,1.0,2,0.4
2024,1000,0,0,10,2.0,3.0,2,0.71
2025,1000,0,0,2,1.0,1.0,2,1.03
2026,1200,0,2,1,0.0,1.0,3,1.43
2027,1130,0,0,3,1.0,2.0,0,3.77
2028,1130,0,0,2,1.0,1.0,0,3.88
2029,1130,0,1,2,1.0,1.0,0,3.85
2030,1060,0,1,2,1.0,1.0,9,1.34
2031,1190,15,1,3,1.0,2.0,9,0.89
2032,1200,0,1,1,1.0,1.0,3,0.87
2033,1000,0,1,2,1.0,1.0,2,0.35
2034,1060,0,0,4,1.0,1.0,9,0.97
2035,1150,14,1,1,1.0,1.0,3,1.76
2036,1040,0,0,4,1.0,1.0,7,2.13
2037,1030,0,0,4,1.0,1.0,0,1.03
2038,1030,0,0,2,1.0,1.0,0,1.07
2039,1030,0,0,4,1.0,1.0,0,1.1
2040,1000,0,0,2,1.0,0.0,4,1.27
2041,1050,0,0,2,1.0,0.0,4,0.89
2042,1200,0,0,3,1.0,1.0,3,0.63
2043,1050,0,1,2,0.5,1.0,4,1.15
2044,1050,0,1,2,1.0,1.0,4,0.71
2045,2060,0,1,2,1.5,1.0,6,0.6
2046,2018,14,1,1,2.0,1.0,1,0.85
2047,1180,14,0,5,2.5,3.0,9,1.41
2048,2000,0,0,3,1.0,0.0,1,0.31
2049,1080,0,0,6,1.5,2.0,5,1.28
2050,1080,0,0,6,1.5,1.0,2,1.5
2051,1080,0,0,6,1.0,1.0,5,1.17
2052,1080,0,0,6,1.5,1.0,5,1.21
2053,1080,0,0,6,1.5,1.0,2,1.45
2054,1200,0,0,3,1.0,2.0,3,1.63
2055,1060,0,1,2,1.0,1.0,4,0.65
2056,1000,0,0,3,1.0,1.0,2,0.81
2057,2140,14,1,3,1.0,1.0,6,0.46
2058,1040,1,1,2,1.0,1.0,7,0.68
2059,1060,0,1,2,1.0,1.0,9,1.33
2060,1040,0,0,2,1.0,1.0,7,0.88
2061,1040,0,0,2,1.0,0.0,7,1.32
2062,1050,0,0,4,1.0,2.0,4,0.94
2063,1000,0,1,2,1.0,1.0,2,0.31
2064,1040,0,0,4,1.0,1.0,7,1.64
2065,1060,0,0,4,1.0,1.0,9,1.08
2066,2000,0,0,3,1.0,1.0,1,1.11
2067,1050,0,0,2,1.0,0.0,4,0.82
2068,1050,0,0,2,1.0,1.0,4,0.31
2069,1030,0,1,2,1.0,1.0,0,0.97
2070,2600,8,1,4,1.0,1.0,1,1.92
2071,1000,0,0,2,1.0,0.0,2,0.75
